Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Latitude,Longitude,Year,Month,Day
Albury,15.7,34.9,0.0,SSW,30.0,SSE,SSW,6.0,7.0,61.0,27.0,1016.5,1013.2,24.2,33.4,No,No,-36.0736,146.9135,2012,1,1
Albury,17.8,36.0,0.0,SSW,24.0,ESE,S,9.0,15.0,57.0,30.0,1016.5,1012.9,25.5,35.0,No,No,-36.0736,146.9135,2012,1,2
Albury,19.7,38.9,0.0,NW,43.0,SE,W,7.0,15.0,55.0,21.0,1015.7,1011.8,26.5,38.8,No,No,-36.0736,146.9135,2012,1,3
Albury,20.5,32.5,0.0,W,35.0,W,W,7.0,9.0,60.0,41.0,1012.2,1011.7,24.5,30.4,No,No,-36.0736,146.9135,2012,1,4
Albury,13.3,30.6,0.4,W,35.0,SE,SW,6.0,17.0,59.0,23.0,1014.9,1011.6,20.9,29.2,No,No,-36.0736,146.9135,2012,1,5
Albury,12.6,29.2,0.0,SSE,31.0,SE,SSW,20.0,13.0,43.0,21.0,1015.0,1012.3,18.9,26.8,No,No,-36.0736,146.9135,2012,1,6
Albury,11.7,33.4,0.0,NNE,31.0,ENE,NE,15.0,9.0,47.0,19.0,1011.7,1007.5,21.6,30.7,No,Yes,-36.0736,146.9135,2012,1,7
Albury,19.1,26.1,5.6,NNW,39.0,NNE,WSW,11.0,13.0,91.0,85.0,1006.3,1002.1,20.0,22.6,Yes,Yes,-36.0736,146.9135,2012,1,8
Albury,12.7,24.6,3.8,W,43.0,WNW,W,20.0,28.0,56.0,33.0,1010.1,1009.4,16.5,23.3,Yes,No,-36.0736,146.9135,2012,1,9
Albury,10.8,24.8,0.0,NW,50.0,W,W,17.0,30.0,57.0,30.0,1011.2,1008.7,17.9,23.5,No,No,-36.0736,146.9135,2012,1,10
Albury,12.0,19.5,0.4,SW,69.0,W,WSW,22.0,39.0,85.0,34.0,1006.8,1008.6,13.5,18.9,No,Yes,-36.0736,146.9135,2012,1,11
Albury,6.2,25.0,1.2,S,39.0,ESE,N,4.0,9.0,52.0,34.0,1017.9,1015.6,14.8,22.3,Yes,No,-36.0736,146.9135,2012,1,12
Albury,9.9,28.3,0.0,WNW,31.0,SSE,WSW,7.0,19.0,62.0,31.0,1016.4,1013.3,16.6,26.5,No,No,-36.0736,146.9135,2012,1,13
Albury,13.3,29.4,0.0,SE,31.0,SSE,ESE,19.0,15.0,49.0,26.0,1015.2,1012.6,19.5,27.7,No,No,-36.0736,146.9135,2012,1,14
Albury,15.1,31.0,0.0,NNE,41.0,SE,SSE,15.0,9.0,52.0,37.0,1017.6,1014.5,20.7,29.7,No,No,-36.0736,146.9135,2012,1,15
Albury,16.5,31.6,0.0,ENE,39.0,ENE,NE,19.0,20.0,48.0,30.0,1020.9,1017.1,23.5,29.3,No,No,-36.0736,146.9135,2012,1,16
Albury,18.9,33.4,0.0,NNW,30.0,NE,ENE,17.0,11.0,41.0,30.0,1020.8,1016.6,24.3,31.6,No,No,-36.0736,146.9135,2012,1,17
Albury,16.1,30.7,0.0,SW,31.0,ESE,ESE,9.0,15.0,64.0,55.0,1016.6,1014.7,21.2,25.0,No,No,-36.0736,146.9135,2012,1,18
Albury,17.8,36.1,0.4,WSW,28.0,SE,NW,11.0,11.0,59.0,26.0,1015.7,1012.8,24.8,34.2,No,No,-36.0736,146.9135,2012,1,19
Albury,20.1,36.2,0.0,WSW,35.0,ESE,W,9.0,19.0,58.0,23.0,1014.2,1010.2,25.3,34.4,No,No,-36.0736,146.9135,2012,1,20
